"1323","123 Main St","Newark","NJ","07101","123-456-7890"
"1528","456 Elm St","Jersey City","NJ","07302","987-654-3210"
"1537","789 Oak St","Hoboken","NJ","07030","555-123-4567"
"1541","101 Maple Ave","Paterson","NJ","07501","444-567-8901"
"1625","202 Pine Rd","Elizabeth","NJ","07201","222-333-4444"
"1629","303 Cedar Ln","Clifton","NJ","07011","333-444-5555"
"1636","404 Birch St","Passaic","NJ","07055","555-666-7777"
"1780","505 Walnut St","Trenton","NJ","08601","888-999-1111"
"1852","606 Poplar St","Camden","NJ","08101","999-888-7777"
"1924","707 Chestnut St","Bayonne","NJ","07002","111-222-3333"
